district_id;district_name;qty;area;lat;long
1;AGUA RASA;2;Mooca;-23.564792;-46.589181
6;BARRA FUNDA;2;Perdizes;-23.53198203;-46.66406112
6;BARRA FUNDA;3;Perdizes;-23.53280004;-46.664244
6;BARRA FUNDA;3;Perdizes;-23.53287303;-46.664748
6;BARRA FUNDA;2;Perdizes;-23.53381101;-46.66503312
6;BARRA FUNDA;2;Perdizes;-23.53347;-46.66615884
6;BARRA FUNDA;2;Perdizes;-23.53267296;-46.66994388
6;BARRA FUNDA;2;Perdizes;-23.53217697;-46.67246604
6;BARRA FUNDA;1;Perdizes;-23.532108;-46.66415
6;BARRA FUNDA;1;Perdizes;-23.533415;-46.66605
6;BARRA FUNDA;1;Perdizes;-23.532725;-46.669598
6;BARRA FUNDA;1;Perdizes;-23.530918;-46.674774
6;BARRA FUNDA;1;Perdizes;-23.527894;-46.675805
6;BARRA FUNDA;1;Perdizes;-23.526213;-46.676762
7;BELA VISTA;1;Angelica;-23.55686001;-46.65695004
7;BELA VISTA;1;Angelica;-23.55866901;-46.65580884
7;BELA VISTA;2;Angelica;-23.55768999;-46.65442104
7;BELA VISTA;1;Angelica;-23.56164396;-46.65582396
7;BELA VISTA;1;Angelica;-23.56038396;-46.65358692
7;BELA VISTA;1;Angelica;-23.56175097;-46.65433284
7;BELA VISTA;1;Angelica;-23.56193799;-46.65411396
7;BELA VISTA;1;Angelica;-23.56037001;-46.65219912
7;BELA VISTA;2;Angelica;-23.55673203;-46.65682188
7;BELA VISTA;2;Angelica;-23.55840999;-46.65569184
7;BELA VISTA;2;Angelica;-23.56130799;-46.65363192
7;BELA VISTA;2;Angelica;-23.56050798;-46.65237408
7;BELA VISTA;2;Angelica;-23.56217298;-46.654362
7;BELA VISTA;2;Angelica;-23.56084899;-46.65622212
7;BELA VISTA;2;Angelica;-23.56166196;-46.65444804
7;BELA VISTA;2;Angelica;-23.56479603;-46.65194388
7;BELA VISTA;1;Angélica;-23.55686001;-46.65695004
7;BELA VISTA;1;Angélica;-23.55866901;-46.65580884
7;BELA VISTA;2;Angélica;-23.55768999;-46.65442104
7;BELA VISTA;1;Angélica;-23.56164396;-46.65582396
7;BELA VISTA;1;Angélica;-23.56038396;-46.65358692
7;BELA VISTA;1;Angélica;-23.56175097;-46.65433284
7;BELA VISTA;1;Angélica;-23.56193799;-46.65411396
7;BELA VISTA;1;Angélica;-23.56037001;-46.65219912
7;BELA VISTA;2;Angélica;-23.55673203;-46.65682188
7;BELA VISTA;2;Angélica;-23.55840999;-46.65569184
7;BELA VISTA;2;Angélica;-23.56130799;-46.65363192
7;BELA VISTA;2;Angélica;-23.56050798;-46.65237408
7;BELA VISTA;2;Angélica;-23.56217298;-46.654362
7;BELA VISTA;2;Angélica;-23.56084899;-46.65622212
7;BELA VISTA;2;Angélica;-23.56166196;-46.65444804
7;BELA VISTA;2;Angélica;-23.56479603;-46.65194388
7;BELA VISTA;1;Paraiso;-23.562585;-46.64149416
7;BELA VISTA;1;Paraiso;-23.56241103;-46.64206512
7;BELA VISTA;1;Paraiso;-23.56619004;-46.64460888
7;BELA VISTA;2;Paraiso;-23.56738299;-46.64235708
7;BELA VISTA;1;Paraiso;-23.56805304;-46.64234196
7;BELA VISTA;1;Paraiso;-23.56820001;-46.64336616
7;BELA VISTA;1;Paraiso;-23.56841997;-46.64377512
7;BELA VISTA;1;Paraiso;-23.57098704;-46.64188908
7;BELA VISTA;1;Paraiso;-23.56190199;-46.64406996
7;BELA VISTA;2;Paraiso;-23.56227702;-46.64261988
7;BELA VISTA;2;Paraiso;-23.56187499;-46.64419884
7;BELA VISTA;2;Paraiso;-23.56414803;-46.64217708
7;BELA VISTA;2;Paraiso;-23.56574796;-46.64159712
7;BELA VISTA;2;Paraiso;-23.56759701;-46.64235708
7;BELA VISTA;2;Paraiso;-23.56783803;-46.64237184
7;BELA VISTA;2;Paraiso;-23.56581402;-46.64431584
7;BELA VISTA;2;Paraiso;-23.56791804;-46.64395116
7;BELA VISTA;2;Paraiso;-23.56834599;-46.64368188
7;BELA VISTA;2;Paraiso;-23.56965999;-46.64373192
7;BELA VISTA;2;Paraiso;-23.57081298;-46.64194812
7;BELA VISTA;2;Paraiso;-23.56797798;-46.64326392
7;BELA VISTA;2;Angelica;-23.56153902;-46.654335
7;BELA VISTA;2;Paraiso;-23.56752;-46.643124
7;BELA VISTA;1;Paraiso;-23.567224;-46.643091
8;BELEM;1;Bras;-23.53774896;-46.60724484
8;BELEM;1;Bras;-23.53638996;-46.60727112
8;BELEM;2;Bras;-23.53774104;-46.60742484
8;BELEM;2;Bras;-23.53589298;-46.60955316
8;BELEM;2;Bras;-23.53367196;-46.61224308
8;BELEM;2;Bras;-23.53536396;-46.610316
8;BELEM;2;Bras;-23.53605003;-46.607373
8;BELEM;1;SilvaTeles;-23.534019;-46.609695
8;BELEM;2;SilvaTeles;-23.53390497;-46.61034696
8;BELEM;1;Belem;-23.53827204;-46.59771384
8;BELEM;1;Belem;-23.53955598;-46.59578892
