"ds_nome","ds_codigo","venues","venues_color","railway","railway_color","bus","bus_color","parking","parking_color","topography","topography_color","final_score","final_score_color"
"AGUA RASA",1,8.58411445484471,"#62B26B",0.833856144918824,"#D55743",6.56617616733442,"#B9C464",5.93069829461,"#D4CA62",7.75447570823007,"#86B968",6.9273890106764,"#AAC165"
"ALTO DE PINHEIROS",2,8.48546635326251,"#67B26A",2.5675548313038,"#E68B4E",5.88264733900221,"#D7CA62",0,"#CE3F3E",8.40762068799374,"#6AB36A",6.56994036600831,"#B9C464"
"ANHANGUERA",3,NA,"#636466",0.00000755587647854886,"#CE3F3E",2.23137360694089,"#E2814C",0,"#CE3F3E",1.84007332130285,"#DF754A",NA,"#636466"
"ARICANDUVA",4,8.06610754811154,"#79B669",0.0000000000000628622800647418,"#CE3F3E",7.60462287525419,"#8CBB67",0,"#CE3F3E",7.98929639844977,"#7CB769",6.19675941277091,"#C9C763"
"ARTUR ALVIM",5,3.9047853971435,"#F2B257",3.28861888735262,"#ECA053",7.40091946118852,"#95BC67",0,"#CE3F3E",7.40221837500063,"#95BC67",4.95672774055262,"#FCD15E"
"BARRA FUNDA",6,8.83656994215123,"#58AF6C",4.12116620024081,"#F4B859",7.45146678294441,"#93BC67",7.84616918677,"#82B868",9.68991501584375,"#33A76E",8.33313967154891,"#6DB46A"
"BELA VISTA",7,8.61058008551765,"#61B16B",6.88644432420599,"#ABC165",8.86332478504511,"#56AF6C",9.43964308867,"#3EAA6E",7.13901167763308,"#A1BF66",8.04868749859703,"#79B669"
"BELEM",8,8.52655813188242,"#65B26A",3.04322458090394,"#EA9952",7.83837545787645,"#82B868",8.29821814809,"#6FB46A",9.68315906106169,"#33A76E",8.20099664063363,"#73B569"
"BOM RETIRO",9,7.19536260481524,"#9EBE66",5.66051769654195,"#E0CC61",7.31203168938902,"#99BD66",9.51246890567,"#3AA96E",9.86762752710367,"#2BA66F",8.18599874303974,"#74B569"
"BRAS",10,8.96782327466587,"#52AE6C",7.06000352580803,"#A4C066",8.20260436507435,"#73B569",9.9478468128,"#28A56F",10,"#26A570",9.12376939196444,"#4BAD6D"
